"Note: Inserting images over cells in sheets is pretty quirky, so if some of the trainer images on your screen appear misplaced, it's because the sheet couldn't load them all in properly. This visual bug can easily be fixed by refreshing the sheet and slowly scrolling through the part your using, to let each of the trainer images load in properly. If that doesn't work try switching to a different tab (on the bottom), then switching back. - Garrett :)",,,,,,
Youngster Calvin (Route 102),,,,,,
,,,,,,
,AI_FLAG:,1,,,,
,Sentret (m),Poochyena (m),Zigzagoon (m),,,
,Level 6 (Mild),Level 6 (Lax),Level 6 (Timid),,,
,None,None,None,,,
,Early Bird (0),Run Away (0),Guts (0),,,
,Quick Attack,Bite,Swift,,,
,Assist,Super Fang,Sand-Attack,,,
,,Mud-Slap,,,,
,,Rock Smash,,,,
,,,,,,
Bug Catcher Rick (Route 102),,,,,,
,,,,,,
,Caterpie (m),Wurmple (m),Kakuna (m),Cascoon (m),,
,Lv. 5 (Hasty),Lv. 5 ,Lv. 5 (Mild),Lv. 5 (Impish),,
,Choice Band,Poison Barb,Berry Juice,Berry Juice,,
,Shield Dust,Shield Dust,Shed Skin,Shed Skin,,
,Takle,Tackle,Iron Defense,Iron Defense,,
,,Poison Sting,Poison Sting,Poison Sting,,
,,String Shot,,Tackle,,
,,,,,,
,,,,,,
Lass Tiana (Route 102),,,,,,
,,,,,,
,Igglybuff (f),Sunkern (f),Togepi (m),,,
,Lv. 6 (Lax),Lv. 6 (Impish),Lv. 6 (Hasty),,,
,None,Berry Juice,Berry Juice,,,
,Cute Charm,Chlorophyll,Serene Grace (24),,,
,Present,Mega Drain,Metronome,,,
,,Synthesis,Softboiled,,,
,,Leech Seed,,,,
,,Protect,,,,
,,,,,,
Bug Catcher Allen (Route 102),,,,,,
,,,,,,
,Weedle (m),Wurmple (m),Metapod (m),Silcoon (m),,
,Lv. 7,Lv. 7 (Naughty),Lv. 7 (Naughty),Lv. 7 (Relaxed),,
,Choice Band,Choice Band,Sitrus Berry,Sitrus Berry,,
,Shield Dust,Shield Dust,Shed Skin,Shed Skin,,
,Poison Sting,Tackle,Iron Defense,Iron Defense,,
,,,Tackle,Poison Sting,,
,,,,Tackle,,
,,,,,,
,,,,,,
Bird Keeper Billy (Route 104),,,,,,
,,,,,,
,Pidgey (m),Wingull (m),Taillow (m),,,
,Lv. 7,Lv. 7 (Impish),Lv. 7,,,
,Silk Scarf,Mystic Water,Silk Scarf,,,
,Keen Eye (18),Keen Eye (18),Guts (15),,,
,Quick Attack,Gust,Quick Attack,,,
,Mud-Slap,Water Gun,Snore,,,
,Gust,Supersonic,Mud-Slap,,,
,Whirlwind,Pursuit,Peck,,,
,,,,,,
Fisherman Darian (Route 104),,,,,,
,,,,,,
,Magikarp (m),Feebas (m),Goldeen (m),Luvdisc (f),,
,Lv. 9 (Careful),Lv. 8,Lv. 7,Lv. 7 (Quiet),,
,Choice Band,Sitrus Berry,None,None,,
,Swift Swim,Swift Swim,Swift Swim (24),Swift Swim (12),,
,Bounce,Water Pulse,Aerial Ace,Sweet Kiss,,
,,Hypnosis,Dive,Attract,,
,,Icy Wind,Horn Attack,Dive,,
,,Facade,Rain Dance,Toxic,,
,,,,,,
Lady Cindy (Route 104),,,,,,
,,,,,,
,Cleffa (f),Pichu (f),Azurill (f),,,
,Lv. 8,Lv. 8,Lv. 7 (Sassy),,,
,Leppa Berry,None,Choice Band,,,
,Cute Charm (15),Static (6),Huge Power (3),,,
,Metronome,Thunder Wave,Uproar,,,
,,Thundershock,,,,
,,Sweet Kiss,,,,
,,Thief,,,,
,,,,,,
Bug Maniac Lyle (Petalburg Woods),,,,,,
,,,,,,
,Spinarak (m),Ledyba (m),Venonat (m),,,
,Lv. 8 (Hasty),Lv. 8 (Naive),Lv. 8 (Timid),,,
,Berry Juice,None,None,,,
,Insomnia,Early Bird,Compound Eyes (12),,,
,Night Shade,Baton Pass,Stun Spore,,,
,Spider Web,Mach Punch,Psybeam,,,
,Baton Pass,Gust,Baton Pass,,,
,Mega Drain,Supersonic,Mega Drain,,,
,,,,,,
Bug Catcher James (Petalburg Woods),,,,,,
,,,,,,
,Paras (m),Surskit (m),Nincada (m),,,
,Lv. 9 (Naive),Lv. 8 (Gentle),Lv. 9 (Brave),,,
,Silverpowder,None,Miracle Seed,,,
,Effect Spore,Swift Swim,Compound Eyes,,,
,Mega Drain,Water Pulse,Giga Drain,,,
,Spore,Mega Drain,Aerial Ace,,,
,Aerial Ace,Mud Shot,Dig,,,
,Secret Power,Psybeam,Snore,,,
,,,,,,
Team Magma Grunt (Petalburg Woods),,,,,,
,,,,,,
,Magnemite,Koffing (m),Houndour (m),Duskull (m),Bagon (m),
,Lv. 8,Lv. 8 (Quiet),Lv. 9 (Lonely),Lv. 8 (Careful),Lv. 8 (Sassy),
,King's Rock,Lax Incense,Scope Lens,Leftovers,Scope Lens,
,Magnet Pull,Levitate,Early Bird,Levitate,Rock Head (15),
,Thunder Wave,Toxic,Pursuit,Will-o-Wisp,Twister,
,Thundershock,Will-o-Wisp,Ember,Shadow Sneak,Ember,
,Tri Attack,Protect,Super Fang,Protect,Bite,
,Flash Cannon,Thief,Toxic,Confuse Ray,Headbutt,
,,,,,,
Rich Boy Winston (N Route 104),,,,,,
,,,,,,
,Snubbull (f),Growlith (m),Electrike (m),,,
,Lv. 8 (Adamant),Lv. 8 (Calm),Lv. 8 (Jolly),,,
,Oran Berry,Oran Berry,Oran Berry,,,
,Intimidate (18),Intimidate (18),Static (18),,,
,Metronome,Ember,Thundershock,,,
,Pay Day,Swift,Bite,,,
,Bite,Bite,Quick Attack,,,
,Mud-Slap,Rock Smash,Thunder Wave,,,
,,,,,,
Lass Haley (N Route 104),,,,,,
,,,,,,
,Skitty (f),Oddish (f),Vulpix (f),,,
,Lv. 9 (Lonely),Lv. 9,Lv. 9,,,
,None,None,None,,,
,Cute Charm (24),Chlorophyll (18),Pressure (18),,,
,Assist,Poisonpowder,Quick Attack,,,
,Attract,Protect,Ember,,,
,,Mega Drain,Confuse Ray,,,
,,Acid,Bite,,,
,,,,,,
Twins Gina & Mia (N Route 104) (Double Battle),,,,,,
,,,,,,
,AI_FLAG:,23,,,,
,Smeargle (m),Smeargle (m),,,,
,Lv. 8,Lv. 8,,,,
,None,None,,,,
,Own Tempo,Own Tempo,,,,
,Reflect,Light Screen,,,,
,Teeter Dance,Follow Me,,,,
,Softboiled,Milk Drink,,,,
,Focus Punch,,,,,
,,,,,,
Pokemon Trainer Red (N Route 104),,,,,,
,,,,,,
,Eevee (m),Bulbasaur (m),Charmander (m),Squirtle (m),Pikachu (m),
,Lv. 9 (Adamant),Lv. 9 (Naive),Lv. 9 (Rash),Lv.9 (Impish),Lv. 9 (Rash),
,Sitrus Berry,Berry Juice,Berry Juice,Berry Juice,Sitrus Berry,
,Run Away,Overgrow,Blaze,Torrent,Static,
,Quick Attack,Sleep Powder,Flame Wheel,Fake Out,Shock Wave,
,Rest,Mega Drain,Quick Attack,Water Pulse,Quick Attack,
,Snore,Cut,Bite,Yawn,Surf,
,Curse,Light Screen,Will-o-Wisp,Bite,Thunder Wave,
,,,,,,
School Kid Josh (Roxanne Gym Trainer),,,,,,
,,,,,,
,Geodude (m),Zubat (m),Sudowoodo (m),Omanyte (m),,
,Lv. 15 (Modest),Lv. 11 (Mild),Lv. 12 (Sassy),Lv. 14,,
,Choice Band,Cheri Berry,Sitrus Berry,Hard Stone,,
,Rock Head (0),Inner Focus,Rock Head,Swift Swim,,
,Self Destruct,Giga Drain,Calm Mind,Water Pulse,,
,,Aerial Ace,Thunder Punch,Rock Tomb,,
,,Hypnosis,Ice Punch,Aurora Beam,,
,,Leech Life,Rock Tomb,Bite,,
,,,,,,
School Kid Tammy (Roxanne Gym Trainer),,,,,,
,,,,,,
,Aron (m),Corsola (f),Rhyhorn (m),Yanma (m),Larvitar (m),
,Lv. 13,Lv. 13 (Sassy),Lv. 15 (Relaxed),Lv. 11 (Careful),Lv. 15 (Rash),
,Sharp Beak,Hard Stone,Lum Berry,None,Persim Berry,
,Rock Head,Natural Cure,Lightning Rod,Speed Boost,Guts,
,Aerial Ace,Recover,Megahorn,Aerial Ace,Rock Slide,
,Rock Tomb,Rock Tomb,Magnitude,Ancient Power,Earthquake,
,Brick Break,Aurora Beam,Rock Tomb,Silver Wind,Facade,
,Secret Power,Water Pulse,Ice Beam,Giga Drain,Sleep Talk,
,,,,,,
Hiker Marc (Roxanne Gym Trainer),,,,,,
,,,,,,
,Onix (m),Cacnea (m),Kabuto (m),Baltoy (m),,
,Lv. 15 (Gentle),Lv. 12 (Adamamnt),Lv. 14,Lv. 12 (Jolly),,
